year,iso,rgdpbarro,rgdp,loans1,bassets2,govass,narrowm,money,gdp,iy,cpi,pop,stir,ltrate,crisisST,stocks
1870,AUS,13.67015,3273.24,NaN,NaN,,23.299999,54.299999,163.39999,0.1092656,2.708333,1775,0.048799999,0.048780002,0,NaN
1871,AUS,13.769732,3298.5081,NaN,NaN,,27.200001,59.5,156.8,0.1045791,2.666667,1675,0.046,0.046728998,0,NaN
1872,AUS,14.86376,3553.426,NaN,NaN,,36.200001,68.5,187.2,0.130438,2.541667,1722,0.046,0.046948001,0,NaN
1873,AUS,16.024851,3823.6289,64.019997,81.751999,,38.599998,73.699997,217.39999,0.1249862,2.541667,1769,0.044,0.047169998,0,NaN
1874,AUS,16.073057,3834.7971,70.040001,88.393997,,37.900002,79.300003,219.39999,0.14195991,2.666667,1822,0.045000002,0.046083,0,NaN
1875,AUS,17.381056,4138.207,78.389999,97.851997,,37.5,88.5,237.60001,0.16056401,2.75,1874,0.046,0.045899998,0,4.2164001
1876,AUS,16.814907,4007.2581,84.349998,106.062,,38.200001,95.800003,235.60001,0.16787779,2.791667,1929,0.046,0.0449,0,4.7873998
1877,AUS,16.940031,4036.0901,98.620003,118.73,,40.200001,105.7,242,0.20993359,2.875,1995,0.045000002,0.043499999,0,5.0131998
1878,AUS,17.98686,4277.3999,103.89,122.76,,38.700001,106.2,252.39999,0.181141,2.833333,2062,0.048,0.044599999,0,3.9375
1879,AUS,17.672739,4204.9829,99.830002,122.886,,37.200001,108.3,257.20001,0.1615086,2.75,2127,0.048999999,0.045000002,0,4.1500001
1880,AUS,18.021791,4285.3892,91.010002,120.442,,44.599998,114.8,276.20001,0.1764724,2.666667,2197,0.046999998,0.041200001,0,4.7410002
1881,AUS,18.757692,4454.8262,111.97,141.60001,,57.299999,134,290.5,0.2123455,2.625,2269,0.046999998,0.038400002,0,5.6041999
1882,AUS,17.048695,4062.606,139.88,167.248,,55.599998,149.3,313.20001,0.1805267,2.666667,2348,0.045000002,0.038899999,0,5.6174002
1883,AUS,18.853476,4475.2759,151.12,178.16,,52.400002,155.89999,327.10001,0.187123,2.958333,2447,0.046999998,0.041999999,0,6.8392
1884,AUS,18.098019,4303.6001,161.78,196.416,,56.599998,171.89999,335.29999,0.2035062,3,2556,0.048999999,0.041700002,0,6.7262998
1885,AUS,18.615395,4422.2642,178.62,214.37199,,61.799999,182.89999,343.5,0.1862147,3,2650,0.048,0.041999999,0,7.0384002
1886,AUS,18.211245,4329.4419,185.32001,222.888,,58.5,186.3,358.29999,0.2182139,3,2741,0.046999998,0.041099999,0,6.7860999
1887,AUS,19.526457,4631.7461,192.83,238.14799,,66.300003,199.7,381.29999,0.2019936,2.916667,2835,0.046,0.037037,0,8.1805
1888,AUS,18.968397,4503.751,223.95,269.12,,75.300003,218.60001,405.70001,0.21091101,2.791667,2932,0.046,0.037037,0,9.7741003
1889,AUS,20.023708,4746.856,239.23,287.97,,71.699997,227.5,418.79999,0.1861224,2.791667,3022,0.045000002,0.036697,0,9.0967999
1890,AUS,18.769547,4457.6758,250.12,302.68201,,74,236.5,409.10001,0.1699273,2.791667,3107,0.043000001,0.037383001,0,8.6717997
1891,AUS,19.673826,4666.458,254.47,305.724,,69.5,238.7,373.70001,0.1954487,2.75,3196,0.043000001,0.038095001,0,7.2974
1892,AUS,16.775673,3995.418,251.75999,304.17401,,67.099998,240.60001,323.89999,0.1367057,2.708333,3274,0.043000001,0.038095001,0,7.2442002
1893,AUS,15.54616,3707.8579,225.38,280.86401,,60.5,217.8,301.29999,0.1115229,2.625,3334,0.041999999,0.038462002,1,6.4274998
1894,AUS,15.792418,3765.5381,213.69,271.41,,65,216.60001,288.89999,0.1194606,2.458333,3395,0.039000001,0.035,0,6.6134
1895,AUS,14.603096,3487.283,198.62,258.90201,,74.400002,222.3,300.29999,0.110825,2.291667,3460,0.035999998,0.0307,0,7.4500999
1896,AUS,15.445807,3684.928,196.55,259.51599,,81,226.39999,313.10001,0.129618,2.291667,3523,0.033,0.029999999,0,7.1711998
1897,AUS,14.315331,3419.967,187.63,245.73199,,80.199997,222.5,331.5,0.1004498,2.291667,3586,0.030999999,0.032200001,0,7.3902998
1898,AUS,16.318918,3891.269,174.61,232.258,,79.199997,219.7,359.60001,0.1270017,2.25,3642,0.029999999,0.029999999,0,8.1141005
1899,AUS,16.099361,3839.6101,169.02,228.25999,,88.5,233.2,370.60001,0.12746561,2.375,3691,0.030999999,0.031199999,0,8.6519003
1900,AUS,16.837782,4013.365,171.28999,233.46001,,89.800003,243.2,379.60001,0.1210629,2.416667,3741,0.030999999,0.033399999,0,9.4268999
1901,AUS,16.094559,3838.7351,172.71001,233.524,,93.5,251,398.79999,0.1312649,2.458333,3795,0.0288,0.0383,0,8.6767998
1902,AUS,16.025917,3822.5969,171.88,233.26801,,93.699997,257.10001,391.60001,0.1554054,2.625,3850,0.0288,0.035700001,0,9.5349998
1903,AUS,17.101965,4076.2319,172.78999,232.08,,93,256.20001,448,0.15887851,2.666667,3896,0.031300001,0.037900001,0,11.0554
1904,AUS,18.030439,4294.729,170.42999,227.56599,,90.199997,257.60001,444,0.1160714,2.541667,3946,0.032499999,0.040100001,0,11.292
1905,AUS,17.976078,4281.9678,166.13,227.968,,92.099998,270.79999,479,0.1058559,2.541667,4004,0.032499999,0.034499999,0,12.3597
1906,AUS,18.93611,4507.3862,169.91,235.536,,100.5,292.79999,538,0.1106472,2.583333,4062,0.032499999,0.033799998,0,13.0827
1907,AUS,19.401543,4616.4282,182.82001,251.48199,,112.7,313.20001,536,0.133829,2.583333,4127,0.0319,0.035700001,0,13.6841
1908,AUS,19.729298,4693.1138,194.82001,267.242,,111.9,324.20001,573,0.141791,2.666667,4197,0.0319,0.036600001,0,15.4006
1909,AUS,20.961172,4980.5991,189.69,263.616,,113.2,337.60001,623,0.1308901,2.708333,4278,0.031300001,0.038199998,0,16.7791
