,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
1,MSFT,01/12/2020 09:31,17/09/2021,190,C,0,34.4,37.2,214.96,35.8,0.793976728,,
2,MSFT,01/12/2020 09:32,17/09/2021,190,C,0,35.25,36.85,214.85,36.05,0.793976728,,
3,MSFT,01/12/2020 09:33,17/09/2021,190,C,0,35.4,36.7,214.8,36.05,0.793976728,,
4,MSFT,01/12/2020 09:34,17/09/2021,190,C,0,35.45,36.5,214.41,35.975,0.793976728,,
5,MSFT,01/12/2020 09:35,17/09/2021,190,C,0,34.75,36.3,214.16,35.525,0.793976728,35.88,214.636
6,MSFT,01/12/2020 09:36,17/09/2021,190,C,0,34.8,36.25,214.2,35.525,0.793976728,35.825,214.484
7,MSFT,01/12/2020 09:37,17/09/2021,190,C,0,34.8,36.25,214.425,35.525,0.793976728,35.72,214.399
8,MSFT,01/12/2020 09:38,17/09/2021,190,C,0,34.9,36,214.26,35.45,0.793976728,35.6,214.291
9,MSFT,01/12/2020 09:39,17/09/2021,190,C,0,35,35.65,214.14,35.325,0.793976728,35.47,214.237
10,MSFT,01/12/2020 09:40,17/09/2021,190,C,0,34.65,35.3,213.595,34.975,0.793976728,35.36,214.124
11,MSFT,01/12/2020 09:41,17/09/2021,190,C,0,34.65,35.3,213.71,34.975,0.793976728,35.25,214.026
12,MSFT,01/12/2020 09:42,17/09/2021,190,C,0,34.85,35.5,214.02,35.175,0.793976728,35.18,213.945
13,MSFT,01/12/2020 09:43,17/09/2021,190,C,0,34.95,35.5,213.99,35.225,0.793976728,35.135,213.891
14,MSFT,01/12/2020 09:44,17/09/2021,190,C,0,34.95,35.45,213.96,35.2,0.793976728,35.11,213.855
15,MSFT,01/12/2020 09:45,17/09/2021,190,C,0,35,35.5,214.03,35.25,0.793976728,35.165,213.942
16,MSFT,01/12/2020 09:46,17/09/2021,190,C,0,35,35.6,214.09,35.3,0.793976728,35.23,214.018
17,MSFT,01/12/2020 09:47,17/09/2021,190,C,0,35.05,35.65,214.18,35.35,0.793976728,35.265,214.05
18,MSFT,01/12/2020 09:48,17/09/2021,190,C,0,35.1,35.5,214.04,35.3,0.793976728,35.28,214.06
19,MSFT,01/12/2020 09:49,17/09/2021,190,C,0,35.1,35.5,214.06,35.3,0.793976728,35.3,214.08
20,MSFT,01/12/2020 09:50,17/09/2021,190,C,0,34.9,35.45,213.915,35.175,0.793976728,35.285,214.057
21,MSFT,01/12/2020 09:51,17/09/2021,190,C,0,34.9,35.45,213.815,35.175,0.793976728,35.26,214.002
22,MSFT,01/12/2020 09:52,17/09/2021,190,C,0,34.9,35.4,213.87,35.15,0.793976728,35.22,213.94
23,MSFT,01/12/2020 09:53,17/09/2021,190,C,0,34.9,35.7,214.268,35.3,0.793976728,35.22,213.9856
24,MSFT,01/12/2020 09:54,17/09/2021,190,C,0,35.15,35.7,214.3,35.425,0.793976728,35.245,214.0336
25,MSFT,01/12/2020 09:55,17/09/2021,190,C,0,35.15,35.5,213.99,35.325,0.793976728,35.275,214.0486
26,MSFT,01/12/2020 09:56,17/09/2021,190,C,0,35,35.35,213.79,35.175,0.793976728,35.275,214.0436
27,MSFT,01/12/2020 09:57,17/09/2021,190,C,0,35,35.3,213.76,35.15,0.793976728,35.275,214.0216
28,MSFT,01/12/2020 09:58,17/09/2021,190,C,0,34.2,35.25,213.57,34.725,0.793976728,35.16,213.882
29,MSFT,01/12/2020 09:59,17/09/2021,190,C,0,34.4,36.55,213.86,35.475,0.793976728,35.17,213.794
30,MSFT,01/12/2020 10:00,17/09/2021,190,C,0,34,36.2,213.72,35.1,0.793976728,35.125,213.74
31,MSFT,01/12/2020 10:01,17/09/2021,190,C,0,34.05,35.8,213.72,34.925,0.793976728,35.075,213.726
32,MSFT,01/12/2020 10:02,17/09/2021,190,C,0,34.45,35.45,213.68,34.95,0.793976728,35.035,213.71
33,MSFT,01/12/2020 10:03,17/09/2021,190,C,0,34.6,35.35,213.685,34.975,0.793976728,35.085,213.733
34,MSFT,01/12/2020 10:04,17/09/2021,190,C,0,34.75,35.4,213.88,35.075,0.793976728,35.005,213.737
35,MSFT,01/12/2020 10:05,17/09/2021,190,C,0,34.75,35.5,213.79,35.125,0.793976728,35.01,213.751
36,MSFT,01/12/2020 10:06,17/09/2021,190,C,0,34.75,35.3,213.65,35.025,0.793976728,35.03,213.737
37,MSFT,01/12/2020 10:07,17/09/2021,190,C,0,34.8,35.3,213.77,35.05,0.793976728,35.05,213.755
