,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
1,MSFT,01/12/2020 09:31,16/07/2021,315,P,0,100.4,103.05,214.96,101.725,0.621492129,,
2,MSFT,01/12/2020 09:32,16/07/2021,315,P,0,100.4,103.05,214.85,101.725,0.621492129,,
3,MSFT,01/12/2020 09:33,16/07/2021,315,P,0,100.65,102.15,214.8,101.4,0.621492129,,
4,MSFT,01/12/2020 09:34,16/07/2021,315,P,0,101.05,102.65,214.41,101.85,0.621492129,,
5,MSFT,01/12/2020 09:35,16/07/2021,315,P,0,101.35,102.6,214.16,101.975,0.621492129,101.735,214.636
6,MSFT,01/12/2020 09:36,16/07/2021,315,P,0,101.4,102.6,214.2,102,0.621492129,101.79,214.484
7,MSFT,01/12/2020 09:37,16/07/2021,315,P,0,101.4,102.8,214.425,102.1,0.621492129,101.865,214.399
8,MSFT,01/12/2020 09:38,16/07/2021,315,P,0,101.5,102.65,214.26,102.075,0.621492129,102,214.291
9,MSFT,01/12/2020 09:39,16/07/2021,315,P,0,101.65,102.55,214.14,102.1,0.621492129,102.05,214.237
10,MSFT,01/12/2020 09:40,16/07/2021,315,P,0,101.85,103.1,213.595,102.475,0.621492129,102.15,214.124
11,MSFT,01/12/2020 09:41,16/07/2021,315,P,0,102.05,103.05,213.71,102.55,0.621492129,102.26,214.026
12,MSFT,01/12/2020 09:42,16/07/2021,315,P,0,101.8,102.95,214.02,102.375,0.621492129,102.315,213.945
13,MSFT,01/12/2020 09:43,16/07/2021,315,P,0,101.7,102.8,213.99,102.25,0.621492129,102.35,213.891
14,MSFT,01/12/2020 09:44,16/07/2021,315,P,0,101.8,102.75,213.96,102.275,0.621492129,102.385,213.855
15,MSFT,01/12/2020 09:45,16/07/2021,315,P,0,101.85,102.7,214.03,102.275,0.621492129,102.345,213.942
16,MSFT,01/12/2020 09:46,16/07/2021,315,P,0,101.7,102.7,214.09,102.2,0.621492129,102.275,214.018
17,MSFT,01/12/2020 09:47,16/07/2021,315,P,0,101.6,102.7,214.18,102.15,0.621492129,102.23,214.05
18,MSFT,01/12/2020 09:48,16/07/2021,315,P,0,101.65,102.7,214.04,102.175,0.621492129,102.215,214.06
19,MSFT,01/12/2020 09:49,16/07/2021,315,P,0,101.65,102.85,214.06,102.25,0.621492129,102.21,214.08
20,MSFT,01/12/2020 09:50,16/07/2021,315,P,0,101.9,102.75,213.915,102.325,0.621492129,102.22,214.057
21,MSFT,01/12/2020 09:51,16/07/2021,315,P,0,101.8,102.7,213.815,102.25,0.621492129,102.23,214.002
